#z x_HI x_HeI x_HeII [all fractions are volume weighted]
14.4904 9.9491e-01 7.8560e-02 3.8477e-04
14.4746 9.9483e-01 7.8554e-02 3.9090e-04
14.4588 9.9475e-01 7.8548e-02 3.9702e-04
14.4429 9.9467e-01 7.8541e-02 4.0313e-04
14.4272 9.9458e-01 7.8535e-02 4.0921e-04
14.4114 9.9450e-01 7.8529e-02 4.1532e-04
14.3956 9.9442e-01 7.8523e-02 4.2148e-04
14.3799 9.9433e-01 7.8517e-02 4.2772e-04
14.3641 9.9425e-01 7.8510e-02 4.3400e-04
14.3484 9.9417e-01 7.8504e-02 4.4034e-04
14.3327 9.9408e-01 7.8497e-02 4.4673e-04
14.3171 9.9399e-01 7.8491e-02 4.5317e-04
14.3014 9.9391e-01 7.8484e-02 4.5967e-04
14.2857 9.9382e-01 7.8478e-02 4.6620e-04
14.2779 9.9378e-01 7.8475e-02 4.6930e-04
14.2701 9.9374e-01 7.8471e-02 4.7288e-04
14.2545 9.9362e-01 7.8463e-02 4.8118e-04
14.2389 9.9354e-01 7.8457e-02 4.8694e-04
14.2233 9.9345e-01 7.8451e-02 4.9332e-04
14.2078 9.9337e-01 7.8444e-02 5.0002e-04
14.2000 9.9333e-01 7.8440e-02 5.0329e-04
14.1961 9.9331e-01 7.8439e-02 5.0484e-04
14.1922 9.9328e-01 7.8437e-02 5.0671e-04
14.1767 9.9314e-01 7.8427e-02 5.1653e-04
14.1611 9.9306e-01 7.8421e-02 5.2253e-04
14.1456 9.9297e-01 7.8414e-02 5.2922e-04
14.1302 9.9288e-01 7.8407e-02 5.3641e-04
14.1224 9.9283e-01 7.8404e-02 5.3993e-04
14.1147 9.9279e-01 7.8400e-02 5.4387e-04
14.0992 9.9266e-01 7.8390e-02 5.5324e-04
14.0838 9.9257e-01 7.8383e-02 5.5989e-04
14.0684 9.9247e-01 7.8376e-02 5.6717e-04
14.0529 9.9237e-01 7.8368e-02 5.7483e-04
14.0491 9.9235e-01 7.8367e-02 5.7670e-04
14.0452 9.9232e-01 7.8365e-02 5.7849e-04
14.0376 9.9226e-01 7.8360e-02 5.8354e-04
14.0222 9.9211e-01 7.8349e-02 5.9406e-04
14.0068 9.9202e-01 7.8342e-02 6.0087e-04
13.9915 9.9191e-01 7.8335e-02 6.0855e-04
13.9761 9.9181e-01 7.8326e-02 6.1659e-04
13.9608 9.9170e-01 7.8318e-02 6.2471e-04
13.9455 9.9159e-01 7.8310e-02 6.3286e-04
13.9302 9.9148e-01 7.8302e-02 6.4102e-04
13.9150 9.9138e-01 7.8294e-02 6.4913e-04
13.9073 9.9133e-01 7.8290e-02 6.5299e-04
13.9035 9.9131e-01 7.8288e-02 6.5489e-04
13.8997 9.9128e-01 7.8286e-02 6.5707e-04
13.8845 9.9112e-01 7.8274e-02 6.6840e-04
13.8693 9.9102e-01 7.8267e-02 6.7542e-04
13.8541 9.9092e-01 7.8259e-02 6.8305e-04
13.8389 9.9081e-01 7.8251e-02 6.9121e-04
13.8313 9.9076e-01 7.8247e-02 6.9519e-04
13.8237 9.9071e-01 7.8243e-02 6.9971e-04
13.8085 9.9056e-01 7.8232e-02 7.1037e-04
13.7934 9.9046e-01 7.8224e-02 7.1799e-04
13.7783 9.9035e-01 7.8216e-02 7.2621e-04
13.7631 9.9023e-01 7.8207e-02 7.3479e-04
13.7480 9.9012e-01 7.8199e-02 7.4349e-04
13.7330 9.9000e-01 7.8190e-02 7.5224e-04
13.7179 9.8988e-01 7.8181e-02 7.6104e-04
13.7028 9.8976e-01 7.8172e-02 7.6988e-04
13.6953 9.8971e-01 7.8168e-02 7.7419e-04
13.6878 9.8965e-01 7.8163e-02 7.7908e-04
13.6728 9.8949e-01 7.8151e-02 7.9059e-04
13.6578 9.8938e-01 7.8143e-02 7.9874e-04
13.6428 9.8926e-01 7.8134e-02 8.0758e-04
13.6278 9.8914e-01 7.8125e-02 8.1682e-04
13.6129 9.8901e-01 7.8115e-02 8.2620e-04
13.5979 9.8889e-01 7.8106e-02 8.3565e-04
13.5830 9.8876e-01 7.8096e-02 8.4514e-04
13.5681 9.8863e-01 7.8087e-02 8.5474e-04
13.5606 9.8857e-01 7.8082e-02 8.5939e-04
13.5569 9.8855e-01 7.8079e-02 8.6171e-04
13.5532 9.8852e-01 7.8077e-02 8.6440e-04
13.5383 9.8832e-01 7.8063e-02 8.7810e-04
13.5234 9.8820e-01 7.8054e-02 8.8695e-04
13.5086 9.8808e-01 7.8045e-02 8.9644e-04
13.4937 9.8794e-01 7.8034e-02 9.0655e-04
13.4900 9.8791e-01 7.8032e-02 9.0904e-04
13.4863 9.8789e-01 7.8030e-02 9.1141e-04
13.4789 9.8780e-01 7.8023e-02 9.1812e-04
13.4641 9.8761e-01 7.8009e-02 9.3192e-04
13.4493 9.8748e-01 7.8000e-02 9.4090e-04
13.4345 9.8735e-01 7.7990e-02 9.5084e-04
13.4272 9.8729e-01 7.7985e-02 9.5591e-04
13.4198 9.8722e-01 7.7979e-02 9.6157e-04
13.4050 9.8704e-01 7.7965e-02 9.7498e-04
13.3903 9.8691e-01 7.7956e-02 9.8451e-04
13.3756 9.8677e-01 7.7946e-02 9.9471e-04
13.3609 9.8663e-01 7.7935e-02 1.0053e-03
13.3462 9.8649e-01 7.7924e-02 1.0162e-03
13.3315 9.8634e-01 7.7913e-02 1.0271e-03
13.3169 9.8619e-01 7.7902e-02 1.0382e-03
13.3022 9.8604e-01 7.7891e-02 1.0493e-03
13.2949 9.8598e-01 7.7885e-02 1.0548e-03
13.2876 9.8590e-01 7.7879e-02 1.0610e-03
13.2730 9.8570e-01 7.7864e-02 1.0755e-03
13.2584 9.8556e-01 7.7854e-02 1.0861e-03
13.2438 9.8541e-01 7.7842e-02 1.0972e-03
13.2365 9.8534e-01 7.7837e-02 1.1029e-03
13.2293 9.8526e-01 7.7830e-02 1.1092e-03
13.2147 9.8506e-01 7.7815e-02 1.1240e-03
13.2002 9.8491e-01 7.7805e-02 1.1346e-03
13.1856 9.8476e-01 7.7793e-02 1.1458e-03
13.1711 9.8461e-01 7.7782e-02 1.1575e-03
13.1675 9.8458e-01 7.7779e-02 1.1604e-03
13.1639 9.8454e-01 7.7776e-02 1.1632e-03
13.1567 9.8444e-01 7.7768e-02 1.1709e-03
13.1422 9.8422e-01 7.7752e-02 1.1868e-03
13.1277 9.8408e-01 7.7741e-02 1.1975e-03
13.1133 9.8392e-01 7.7730e-02 1.2092e-03
13.1060 9.8385e-01 7.7724e-02 1.2152e-03
13.0988 9.8377e-01 7.7717e-02 1.2218e-03
13.0844 9.8355e-01 7.7701e-02 1.2376e-03
13.0700 9.8340e-01 7.7689e-02 1.2490e-03
13.0556 9.8324e-01 7.7677e-02 1.2610e-03
13.0484 9.8316e-01 7.7671e-02 1.2670e-03
13.0448 9.8313e-01 7.7668e-02 1.2699e-03
13.0412 9.8309e-01 7.7665e-02 1.2734e-03
13.0269 9.8284e-01 7.7647e-02 1.2909e-03
13.0125 9.8269e-01 7.7636e-02 1.3023e-03
